level1;level2;level3;level4;level5;tooltip;source;source_url;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;level
FINANCE;FIN-INTERNAL SERVICES/IND COST;TRANSFER FROM THE GENERAL FUND;;;;;;0;1675481;2205318;1699866;1704669;1229762;1531498;0;0;0;0;0;0;3
FINANCE;FIN-INTERNAL SERVICES/IND COST;TRANSFER FROM THE GENERAL FUND;;;;;;0;703463;793081;772018;791949;752813;0;0;0;0;0;0;0;3
FINANCE;FINANCE-CLAIMS PAYMENT FUND;CHARGES FOR SERVICES;;;;;;0;4722132;4853083;5339660;6380761;4771432;4742720;0;0;0;0;0;0;3
FINANCE;PARKING DEBT SERVICE;2015 GO REFUND - PREMIUM;;;;;;0;0;0;0;0;0;0;0;0;0;-160098;0;0;3
FINANCE;FINANCE-CLAIMS PAYMENT FUND Total;;;;;;;0;4959932;5090883;5577460;6618561;4771432;4742720;0;0;0;0;0;0;2
FINANCE;SOLID WASTE FA DEBT Total;;;;;;;0;0;-10207280;0;0;-3593929;0;-1006624;-1143324;-4803000;-2201778;-3380000;0;2
FINANCE;BALLPARK DEBT SERVICE Total;;;;;;;0;0;0;0;0;0;-1803256;0;0;-12130000;0;0;0;2
FINANCE;PARKING DEBT SERVICE Total;;;;;;;0;0;0;0;0;0;0;0;0;0;-1023273;0;0;2
FINANCE;DPAC DEBT SERVICE Total;;;;;;;0;0;0;0;0;0;0;0;0;0;-30205000;0;0;2
FINANCE;FIN-DEBT SERVICE;;;;;;;0;0;0;0;0;0;0;0;0;0;1023273;8000000;0;2
FIRE;FIRE SUPPRESSION;FIRE PROTECTION - STATE OWNED;;;;;;0;0;83547;92999;92999;92999;92999;160094;156312;154551;150215;149482;149482;3
FIRE;FIRE ADMINISTRATION;MISCELLANEOUS NON-OPERATING RE;;;;;;0;0;0;0;0;2047;0;32519;0;0;0;0;0;3
FIRE;FIRE ADMINISTRATION;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;FIRE ADMINISTRATION;DONATIONS - FIRE DEPARTMENT;;;;;;0;0;0;0;1350;360;500;578;0;50;0;0;0;3
FIRE;FIRE SUPPRESSION;CERTIFICATES OF PARTICIPATION;;;;;;0;0;290000;0;0;0;0;0;0;0;0;0;0;3
FINANCE;FIN IS/IND COST GASB 34 CONV;INDIRECT COSTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;FIRE ADMINISTRATION;CHARGES FOR SERVICES;;;;;;0;300000;300000;0;600000;300000;300000;300000;400000;400000;400000;400000;400000;3
FIRE;FIRE SUPPRESSION;FIRE INSPECTION FEES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;FIRE SUPPRESSION;FIRE PERMIT FEES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FINANCE;FIN TREASURY GASB 34 CONV Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
FIRE;FIRE GRANTS- FEDERAL;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;6580;0;0;0;0;0;0;0;0;0;3
FIRE;2008 AB 2005 BONDS;2005 GENERAL OBLIGATION BONDS;;;;;;0;0;0;0;0;0;0;0;0;0;105099;0;0;3
FIRE;FIRE DEPARTMENT IMPROVEMENTS;INTEREST - GO BONDS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;2005 AB COPS;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;2055547;0;0;3
FIRE;FIRE PREVENTION;CHARGES FOR SERVICES;;;;;;0;0;0;0;0;2310;0;0;9594;14104;20658;6603;7500;3
FIRE;FIRE PREVENTION;FIRE PROTECTION - STATE OWNED;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;FIRE DEPARTMENT IMPROVEMENTS;INTEREST - COD;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;FIRE DEPARTMENT CIP;DISTRIBUTED INTEREST;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;62360;3
FIRE;FIRE PREVENTION Total;;;;;;;0;7690;686762;683632;667553;575786;531522;628495;965092;585935;685549;636598;697956;2
FIRE;FIRE GRANTS- FEDERAL Total;;;;;;;0;0;0;32900;0;0;0;0;492601;680547;211502;0;0;2
FINANCE;FINANCE DIRECTOR GASB 34 CONV;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;-1864310;0;0;0;0;0;0;0;0;3
FINANCE;INVESTMENT POOL FUND;EARNINGS US GOVERNMENT SECURIT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FINANCE;POST EMPLOYMENT BENEFITS;DISTRIBUTED INTEREST;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FINANCE;FIN-DEBT SERVICE;2015 GO BONDS REFUNDING;;;;;;0;0;0;0;0;0;0;0;0;0;-43082588;0;0;3
FINANCE;FIN-DEBT SERVICE;COI - PRIVATE BANK LOAN;;;;;;0;0;0;0;0;0;0;-15000;0;0;0;-10000;0;3
FINANCE;FIN-DEBT SERVICE;LIMITED OBLIGATION BONDS;;;;;;0;0;0;0;0;0;-39570000;0;0;0;0;0;0;3
FINANCE;FIN-DEBT SERVICE;PREMIUM ON DEBT ISSUED;;;;;;0;0;-1607835;0;0;0;0;0;0;0;0;0;0;3
FINANCE;FIN-DEBT SERVICE;REFUNDING PROCEEDS;;;;;;0;0;0;0;0;0;0;0;0;0;0;-6125000;0;3
FINANCE;FIN-DEBT SERVICE;2013 AB LOBS;;;;;;0;0;0;0;0;0;0;0;0;-19244168;0;0;0;3
FINANCE;POST EMPLOYMENT BENEFITS Total;;;;;;;0;0;0;2708268;2800000;3800000;3614242;4535216;4521230;4435178;4480842;-301430;0;2
GENERAL SERVICES;DOWNTOWN REVITALIZATION PROJ;TRANSFER FROM CIP MISC THFARE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;2008 PRIVATE PLACEMENT;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;394642;0;0;3
GENERAL SERVICES;PARKING FACILITIES;TWO THIRDS BONDS PROCEEDS 2008;;;;;;0;0;0;0;0;0;0;0;3124;1;-3124;0;0;3
GENERAL SERVICES;PARKING FACILITIES;CERTIFICATES OF PARTICIPATION;;;;;;422000;0;0;0;0;0;0;0;0;0;-422000;0;0;3
GENERAL SERVICES;DOWNTOWN REVITALIZATION PROJ;MISCELLANEOUS DEBT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2944930;3
GENERAL SERVICES;2008 2/3 BONDS;TWO THIRDS BONDS PROCEEDS 2008;;;;;;0;0;0;0;0;0;0;0;0;0;3124;0;0;3
GENERAL SERVICES;2010 CULTURAL LOBS;2010 LOBS;;;;;;0;0;0;0;0;0;1870361;0;-65046;0;-429171;0;0;3
GENERAL SERVICES;2012 2/3 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;566233;0;0;-47923;335189;2
GENERAL SERVICES;2013 AB LOBS Total;;;;;;;0;0;0;0;0;0;0;0;0;2181990;1243299;-148977;668294;2
GENERAL SERVICES;2005 AB COPS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;422000;0;0;2
GENERAL SERVICES;PROPERY & FACILITY MANAGEMENT;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;2005 PARKS & RECREATION BONDS;TRANSFER IN - OTHER SRF;;;;;;0;0;0;0;0;0;0;0;0;75568;-47806;-27762;-43382;3
GENERAL SERVICES;2005 PARKS & RECREATION BONDS;INVESTMENT INCOME;;;;;;0;0;0;0;0;0;0;0;0;125261;-118387;-6873;0;3
GENERAL SERVICES;GENERAL SERVICES PROJECTS;TRANSFER FROM INSPECTION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;500000;3
GENERAL SERVICES;GENERAL SERVICES PROJECTS;MISCELLANEOUS DEBT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1112023;3
GENERAL SERVICES;TREES;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;3700;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;MISC GRANTS -RECOVERY ACT Total;;;;;;;0;0;0;0;0;86730;7680;0;0;0;0;0;14162;2
GENERAL SERVICES;2008 AB 2005 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;10373610;0;0;2
GENERAL SERVICES;URBAN FORESTRY Total;;;;;;;0;0;0;0;1460;1500;0;0;0;0;0;0;0;2
GENERAL SERVICES;GS: LANDSCAPING Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
FINANCE;FIN-INTERNAL SERVICES/IND COST;TRANSFER FROM WATER & SEWER O;;;;;;0;0;0;0;1755715;0;0;0;0;0;0;0;0;3
FINANCE;FINANCE-ASSET PROTECTION FUND;APPROPRIATIONS FROM FUND BALAN;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FINANCE;FINANCE-ASSET PROTECTION FUND;DISTRIBUTED INTEREST;;;;;;0;146740;0;0;0;0;0;0;0;0;0;0;0;3
FINANCE;POST EMPLOYMENT BENEFITS;CHARGES FOR SERVICES;;;;;;0;0;0;0;2800000;3800000;3490667;0;0;0;0;0;0;3
FINANCE;FIN-DEBT SERVICE;2010 BANK LOAN REFUNDING 2008;;;;;;0;0;0;0;0;0;5603898;0;0;0;0;0;0;3
FINANCE;FIN-DEBT SERVICE;LIMITED OBLIGATION BONDS;;;;;;0;0;0;0;0;0;-13465000;0;0;0;0;0;0;3
FINANCE;FIN-DEBT SERVICE;SUBSIDY 35%- BABS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FINANCE;FIN-INTERNAL SERVICES/IND COST Total;;;;;;;0;0;3116018;7931363;3756525;3988505;6402950;0;0;0;0;0;0;2
FINANCE;FIN-INTERNAL SERVICES/IND COST Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
FINANCE;FIN-DEBT SERVICE Total;;;;;;;0;0;0;0;0;0;-14297920;0;0;0;0;0;0;2
GENERAL SERVICES;PROPERTY & FACILITY MANAGEMENT;TRANSFER FROM CIVIC CENTER OPE;;;;;;0;0;0;0;0;0;0;0;0;0;0;44828;0;3
GENERAL SERVICES;PROPERTY & FACILITY MANAGEMENT;TRANSFER FROM-WATER AND SEWER;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;2005 PUBLIC IMPROVEMENT BONDS;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;2010 CULTURAL LOBS;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;65046;0;0;3
GENERAL SERVICES;2005 CULTURAL FACILITIES BONDS Total;;;;;;;0;0;500000;0;3076857;-293870;329260;0;0;65047;-3677294;0;0;2
GENERAL SERVICES;PROPERY & FACILITY MANAGEMENT Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;12000;24819;2
GENERAL SERVICES;2006 AB 2005 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;2178687;0;0;2
GENERAL SERVICES;2005 2/3 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;1300000;0;0;2
GENERAL SERVICES;2008 AB 2005 BONDS;;;;;;;0;0;0;0;0;0;0;0;0;0;5233294;0;0;2
GENERAL SERVICES;2009 LOBS Total;;;;;;;0;0;0;0;0;0;4768039;0;0;0;-81159;0;0;2
FIRE;FIRE DEPARTMENT IMPROVEMENTS;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;150000;0;0;0;1326464;307439;-93408;-257367;1783904;3
FIRE;FIRE DEPARTMENT IMPROVEMENTS;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;GS: LANDSCAPING;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;FIRE DEPARTMENT IMPROVEMENTS;TRANSFER FROM CIP DOWNTOWN;;;;;;0;0;0;0;0;0;0;0;0;37520;0;0;37520;3
FIRE;FIRE DEPARTMENT IMPROVEMENTS;INVESTMENT INCOME;;;;;;0;0;0;0;0;0;0;0;77166;59924;-24122;3489;137090;3
FIRE;2012 2/3 BONDS;DISTRIBUTED INTEREST;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
FIRE;2012 AB 2005 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;64772;508271;177757;2
FIRE;2012 2/3 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;535763;0;19142;-49428;-4980;2
FIRE;2008 AB 2005 BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;105099;0;0;2
GENERAL SERVICES;DOWNTOWN REVITALIZATION PROJ;TRANSFER FROM THE CEMETERY PER;;;;;;0;0;0;0;0;0;0;0;0;0;100000;0;0;3
GENERAL SERVICES;GENERAL PROJECTS GENERAL SERVI;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;1452171;0;0;0;0;-8100;5063;-1449135;0;0;3
GENERAL SERVICES;2008 PRIVATE PLACEMENT;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;150969;0;0;3
GENERAL SERVICES;DOWNTOWN PROJECTS;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;403500;0;0;0;0;0;0;-403500;0;0;3
GENERAL SERVICES;2009 CULTURAL LOBS;CERTIFICATES OF PARTICIPATION;;;;;;0;0;0;0;0;0;0;0;0;0;938;0;0;3
GENERAL SERVICES;DOWNTOWN PROJECTS;APPROPRIATIONS FROM FUND BALAN;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GENERAL SERVICES;2012 2/3 BONDS;TWO THIRDS BOND PROCEED 2012;;;;;;0;0;0;0;0;0;0;0;0;0;1000485;0;0;3
GENERAL SERVICES;2005 PARKS & RECREATION BONDS Total;;;;;;;0;0;10;0;369650;-38060;600000;0;4237162;0;-5168742;0;0;2
GENERAL SERVICES;2007 GO BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;66548;0;0;2
BUDGET AND MANAGEMENT SERVICES;BUDGET & MANAGEMENT SERVICES;ANNEXATION VOLUNTARY PETITION;;;;;;0;4000;4750;3750;1000;1000;1334;1750;2500;250;0;0;0;3
BUDGET AND MANAGEMENT SERVICES;FLEET INVENTORY FUND;TRANSFER FROM RISK FUND;;;;;;0;0;0;0;0;0;778842;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;ECONOMIC DEVELOPMENT SPECIAL E;DONATIONS;;;;;;0;-50;0;0;0;0;0;0;0;0;0;0;0;3
CITY ATTORNEY;CITY ATTORNEY GASB 34 CONV;SALE OF SURPLUS EQUIPMENT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;ECONOMIC DEVELOPMENT SPECIAL E Total;;;;;;;0;10672;0;0;0;0;0;0;0;0;0;0;0;2
BUDGET AND MANAGEMENT SERVICES;BUDGET-PP-NON-CITY AGENCIES Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;YOUTH PD WK EXP PROGRAM Total;;;;;;;0;0;0;0;0;0;0;0;0;0;5753;2900;0;2
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN REVITALIZATION Total;;;;;;;0;0;0;0;0;0;22137;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;PARRISH STREET Total;;;;;;;0;0;0;0;0;0;0;0;935;390;1345;1470;5000;2
ECONOMIC & WORKFORCE DEVELOPM;DAP OPERATING Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
UNDEFINED;GASB 34 CONVERSION FUND;2005 GENERAL OBLIGATION BONDS;;;;;;0;0;-8003000;0;-33740000;0;0;0;0;0;0;0;0;3
UNDEFINED;GASB 34 CONVERSION FUND;CERTIFICATES OF PARTICIPATION;;;;;;0;0;-290000;0;0;0;0;0;0;0;0;0;0;3
CITY MANAGER;PUBLIC AFFAIRS- MISC GRANTS;PRIVATE GRANTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
CITY MANAGER;STRATIGIC INITIATIVES;DURHAM COUNTY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
CITY CLERK;CITY CLERK;SALE OF SURPLUS EQUIPMENT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
UNDEFINED;SOLID WASTE CONVERSION FUND Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
UNDEFINED;GASB DEVELOPMENT Total;;;;;;;0;0;0;-1770710;-1455012;-1453030;-1453985;-1983777;-908016;-1416040;-1745784;0;0;2
CITY MANAGER;MISCELLANEOUS CONSULTING Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
CITY CLERK;CITY CLERK GASB 34 CONV Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
CITY MANAGER;CITY MANAGER DIVISION Total;;;;;;;0;0;0;0;0;0;-2869;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN BUSINESS ASSISTANCE;AMRINATIONAL HOUSING LOANS DIS;;;;;;0;1140;5485;5817;6244;6663;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN REVITALIZATION FUND;AMERICAN TOBACCO NORTH PARKING;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN BUSINESS ASSISTANCE;INVESTMENT INCOME;;;;;;0;5251;10358;10102;9774;9451;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2010-2040;FEDERAL PASSED THRU STATE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;CULTURAL MASTER PLAN GRANT FUN;DURHAM COUNTY;;;;;;0;54484;69520;63381;0;0;0;0;-164804;0;0;0;-22581;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;FEDERAL PASSED THRU STATE;;;;;;216862;251937;-468799;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN BUSINESS ASSISTANCE Total;;;;;;;0;6391;15843;15920;16018;16114;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;;;;;;;216862;251937;-468799;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA 2011-2012 & 2012-2013;FEDERAL PASSED THRU STATE;;;;;;0;0;0;0;0;0;0;1390253;534814;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050;FEDERAL PASSED THRU STATE;;;;;;0;233118;-221589;-11529;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050;FEDERAL PASSED THRU STATE;;;;;;0;0;377091;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;GRANTS CLOSE OUT 2012;;;;;;0;0;0;0;0;0;0;129191;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040 Total;;;;;;;0;0;29773;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16) Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1502014;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050 Total;;;;;;;0;0;377091;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2050 Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2003-2004 Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;TRANSFER FROM THE GENERAL FUND;;;;;;196045;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;FEDERAL PASSED THRU STATE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2002-2003;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2005-2007;FEDERAL PASSED THRU STATE;;;;;;0;133708;170000;65087;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;DONATIONS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;FEDERAL GRANTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004 Total;;;;;;;196045;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005 Total;;;;;;;196045;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-2006-2008 Total;;;;;;;0;0;1486683;642934;0;0;0;0;0;0;0;0;13567;2
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT Total;;;;;;;248686;0;0;0;0;0;0;-22519;0;0;0;0;1515;2
ECONOMIC & WORKFORCE DEVELOPM;CULTURAL MASTER PLAN YR 4;CULTURAL MASTER PLAN GRANT;;;;;;0;0;0;0;84393;0;0;0;67957;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;2005 ABC GO BONDS;TRANSFER FROM THE GENERAL FUND;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;STATE OF DURHAM'S ECONOMY;SPECIAL GRANTS;;;;;;0;0;0;0;0;0;0;0;32436;15157;16718;5000;0;3
ECONOMIC & WORKFORCE DEVELOPM;CULTURAL MASTER PLAN GRANT FUN;DONATIONS;;;;;;0;0;500;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;OEWD MISC GRANTS;FEDERAL GRANTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;20000;1360000;3
ECONOMIC & WORKFORCE DEVELOPM;OEWD - EDI GRANTS Total;;;;;;;0;0;177000;33766;66333;25647;4073;0;34755;5700;0;0;46;2
PARKS & RECREATION;MCCOWN-MANGUM HOUSE;RECREATIONAL FACILITIES RENTS;;;;;;0;0;400;600;250;1050;798;1000;600;900;600;1425;1000;3
PARKS & RECREATION;WEST POINT ON THE ENO PARK;NON-RESIDENT CHARGES;;;;;;0;0;300;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;DPR-HERITAGE PARKS;ADMISSIONS/ENTRY FEES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;DUKE PARK;SIZE 3 (LARGE) PARK SHELTER RE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;EAST END PARK;PARK SHELTER RENTAL FEE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;DPR-HERITAGE PARKS;RECREATION CENTER;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;CREST STREET PARK;RECREATION CENTER;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;WEST POINT ON THE ENO PARK;TRIPS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;DUKE PARK;RECREATION CENTER;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;WEST POINT ON THE ENO PARK Total;;;;;;;0;1211;11909;19508;14714;11440;10684;4236;5833;1034;777;725;2000;2
PARKS & RECREATION;HOLTON RECREATION CENTER;CHARGES FOR SERVICES;;;;;;0;0;0;0;0;3085;1690;2228;204;675;300;1100;0;3
PARKS & RECREATION;TRINITY AVE RECREATION CENTER;CHARGES FOR SERVICES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PARKS & RECREATION;DPR-EDISON JOHNSON;RACQUETBALL COURT RENTAL FEE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
