level1;level2;level3;level4;level5;tooltip;source;source_url;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;level
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;FULL TIME PERSONNEL;;;;;;49376;1981;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;LONGEVITY;;;;;;1500;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;CONTRACTUAL PERSONAL SERVICES;;;;;;2206;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;HEALTH INSURANCE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;WELLPATH PREMIUM REGULAR EMPLO;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;RETIREMENT;;;;;;0;-797;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;TELEPHONE SYSTEM MODIFICATION;;;;;;150;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;GASOLINE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;LOCAL AUTO MILEAGE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005;TRANSFER TO THE GENERAL FUND;;;;;;0;0;0;0;0;0;252;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2004-2005  Total;;;;;;;123342;72086;-32;0;397;0;252;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;FICA EXPENSE;;;;;;67;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;MEDICARE EXPENSE;;;;;;16;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;INSURANCE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;TELEPHONE SYSTEM MODIFICATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;AUTOMOTIVE & VEHICLE MAINTENAN;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;CASH OVER;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;SPECIAL CONTRACTUAL SERVICES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;OTHER OPERATING COSTS;;;;;;7412;1425;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;LONGEVITY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;RETIREMENT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;3884;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;SMALL HAND TOOLS;;;;;;11;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;TELEPHONE SYSTEM MODIFICATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;AUTOMOTIVE & VEHICLE MAINTENAN;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;320;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;NON-FIXED ASSET EQUIPMENT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;CONTRIBUTIONS TO OTHER AGENCIE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;FICA EXPENSE;;;;;;6527;0;0;0;0;0;0;0;0;0;0;0;-81;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;INSURANCE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2025;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;WELLPATH CITY SUPPLEMENT;;;;;;888;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;SMALL HAND TOOLS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;LOCAL TELEPHONE SERVICE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;CELLULAR PHONE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;TRAVEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;NON-FIXED ASSET EQUIPMENT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;CONTRIBUTIONS TO OTHER AGENCIE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;ECONOMIC DEV GRANTS 2010-2011;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;58258;116915;0;0;0;0;55227;3
ECONOMIC & WORKFORCE DEVELOPM;ECONOMIC DEV GRANTS 2010-2011;LIFE INSURANCE;;;;;;0;0;0;0;0;0;41;4;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2004-2005;FULL TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2004-2005;DENTAL INSURANCE PREMIUM;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2004-2005;MENTAL HEALTH INSURANCE PREMIU;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2004-2005;GENERAL & ADMINISTRATIVE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SUMMER YOUTH PRIVATE CONTRIBUT  Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;MEDICARE EXPENSE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;LIFE INSURANCE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;SPECIALIZED DEPARTMENT SUPPLIE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;AUTOMOTIVE & VEHICLE MAINTENAN;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;SPECIAL CONTRACTUAL SERVICES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;SAGE GRANT;OTHER OPERATING COSTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;FULL TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;YOUTH BUILD;NON-LAW ENFORCEMENT 401-K;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050;SPECIAL CONTRACTUAL SERVICES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050;RETIREMENT CONTRIBUTIONS-LGERS;;;;;;0;4450;4111;880;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050;PRINTING-INTERNAL SERVICES;;;;;;0;48;834;512;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2050;LOCAL TELEPHONE SERVICE;;;;;;0;36;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040;TRAINING & RELATED TRAVEL;;;;;;0;4500;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040;OTHER OPERATING COSTS;;;;;;0;55022;10270;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040;PART-TIME PERSONNEL;;;;;;12168;-263;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040;FICA EXPENSE;;;;;;683;213;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2002-2004 - 2010-2040;APPROPRIATIONS NOT AUTHORIZED;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2011-2012 & 2012-2013;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;65610;11295;756;0;0;36391;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2011-2012 & 2012-2013;OVERTIME;;;;;;0;0;0;0;0;0;0;178;274;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2011-2012 & 2012-2013;FICA EXPENSE;;;;;;0;0;0;0;0;0;0;20267;2990;0;0;0;-5289;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2011-2012 & 2012-2013;MEALS;;;;;;0;0;0;0;0;0;0;0;332;0;0;0;2168;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2011-2012 & 2012-2013;SPECIAL CONTRACTUAL SERVICES;;;;;;0;0;0;0;0;0;0;863444;452505;0;0;0;3330;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2012-2013 & 2013-2014;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;114856;45424;5529;0;-70106;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2012-2013 & 2013-2014;RETIREMENT CONTRIBUTIONS-LGERS;;;;;;0;0;0;0;0;0;0;0;22351;5258;0;0;-8676;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2012-2013 & 2013-2014;COMMUNICATIONS;;;;;;0;0;0;0;0;0;0;0;908;1053;0;0;-56;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2012-2013 & 2013-2014;GENERAL & ADMINISTRATIVE;;;;;;0;0;0;0;0;0;0;0;4445;0;0;110;445;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2050;TELEPHONE SYSTEM MODIFICATION;;;;;;0;54;-54;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2050  Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2013-2014 (PY2013);FICA EXPENSE;;;;;;0;0;0;0;0;0;0;0;0;21423;8030;379;-5709;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2013-2014 (PY2013);DENTAL INSURANCE PREMIUM;;;;;;0;0;0;0;0;0;0;0;0;2329;638;37;-282;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2013-2014 (PY2013);SALARY ALLOCATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2013-2014 (PY2013);MEALS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;300;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2013-2014 (PY2013);SPECIAL CONTRACTUAL SERVICES;;;;;;0;0;0;0;0;0;0;0;0;1223971;213578;0;53119;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2013-2014 (PY2013);OTHER OPERATING COSTS;;;;;;0;0;0;0;0;0;0;0;0;9163;7409;3013;8381;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;50968;93951;-21903;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);FICA EXPENSE;;;;;;0;0;0;0;0;0;0;0;0;0;18963;11853;5684;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);BC/BS HEALTH INS - CITY;;;;;;0;0;0;0;0;0;0;0;0;0;47770;29022;-4072;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);RETIREMENT CONTRIBUTIONS-LGERS;;;;;;0;0;0;0;0;0;0;0;0;0;20755;11064;6381;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);SALARY ALLOCATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);COMMUNICATIONS;;;;;;0;0;0;0;0;0;0;0;0;0;2379;121;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY 2014-2015 (PY2014);OTHER OPERATING COSTS;;;;;;0;0;0;0;0;0;0;0;0;0;2236;10437;-11;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15);PART-TIME PERSONNEL;;;;;;;0;0;0;0;0;;;0;;0;7133;36704;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15);LIFE INSURANCE;;;;;;;0;0;0;0;0;;;0;;0;483;10407;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15);DENTAL INSURANCE PREMIUM;;;;;;;0;0;0;0;0;;;0;;0;2236;1147;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15);ICMA RET HEALTH SAVINGS PLAN;;;;;;;0;0;0;0;0;;;0;;0;1768;1577;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15);PRINTING-INTERNAL SERVICES;;;;;;;0;0;0;0;0;;;0;;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15);OTHER OPERATING COSTS;;;;;;;0;0;0;0;0;;;0;;0;2376;34249;3
ECONOMIC & WORKFORCE DEVELOPM;WIA: FY2015-2016 (PY15)  Total;;;;;;;;0;0;0;0;0;;;0;;0;1393659;526469;2
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16);MEDICARE EXPENSE;;;;;;;0;0;0;0;0;;;0;;;;4000;3
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16);LIFE INSURANCE;;;;;;;0;0;0;0;0;;;0;;;;680;3
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16);ICMA RET HEALTH SAVINGS PLAN;;;;;;;0;0;0;0;0;;;0;;;;2555;3
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16);COMMUNICATIONS;;;;;;;0;0;0;0;0;;;0;;;;3500;3
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16);MEALS;;;;;;;0;0;0;0;0;;;0;;;;4000;3
ECONOMIC & WORKFORCE DEVELOPM;WIOA: FY2016-2017 (PY16);SPECIAL CONTRACTUAL SERVICES;;;;;;;0;0;0;0;0;;;0;;;;1020227;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2010-2040;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2010-2040;MEDICARE EXPENSE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2010-2040;LIFE INSURANCE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2010-2040;NON-LAW ENFORCEMENT 401-K;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2003-2005 - 2010-2040;OTHER OPERATING COSTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;FULL TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;DENTAL INSURANCE PREMIUM;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;WELLPATH CITY SUPPLEMENT;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;BC/BS HEALTH INS - CITY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;NON-LAW ENFORCEMENT 401-K;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;PRINTING & DUPLICATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;FULL TIME PERSONNEL;;;;;;38120;67767;6021;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;MEDICARE EXPENSE;;;;;;426;849;44;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;HEALTH INSURANCE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2050;COMMUNICATIONS;;;;;;0;409;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2004-2006 - 2010-2040;SPECIAL CONTRACTUAL SERVICES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA - RECOVERY ACT 2009;TRAINING & RELATED TRAVEL;;;;;;0;0;0;0;0;257;176;0;0;0;0;0;117;3
ECONOMIC & WORKFORCE DEVELOPM;WIA - RECOVERY ACT 2009;OTHER OPERATING COSTS;;;;;;0;0;0;0;0;2204;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN REVITALIZATION FUND;FICA EXPENSE;;;;;;0;0;0;0;1871;2989;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;DOWNTOWN REVITALIZATION FUND;POSTAGE;;;;;;0;0;0;0;186;55;0;0;0;0;0;0;0;3
